20130925,66.21,67.51,67.47,69.96,70.23,69.36
20130926,67.51,67.47,69.96,70.23,69.36,69.46
20130927,67.47,69.96,70.23,69.36,69.46,68.96
20130930,69.96,70.23,69.36,69.46,68.96,68.29
20131001,70.23,69.36,69.46,68.96,68.29,69.11
20131002,69.36,69.46,68.96,68.29,69.11,69.68
20131003,69.46,68.96,68.29,69.11,69.68,69.51
20131004,68.96,68.29,69.11,69.68,69.51,68.80
20131007,68.29,69.11,69.68,69.51,68.80,69.86
20131008,69.11,69.68,69.51,68.80,69.86,69.37
20131009,69.68,69.51,68.80,69.86,69.37,69.00
20131010,69.51,68.80,69.86,69.37,69.00,69.96
20131011,68.80,69.86,69.37,69.00,69.96,69.93
20131014,69.86,69.37,69.00,69.96,69.93,70.49
20131015,69.37,69.00,69.96,69.93,70.49,71.25
20131016,69.00,69.96,69.93,70.49,71.25,71.55
20131017,69.96,69.93,70.49,71.25,71.55,71.75
20131018,69.93,70.49,71.25,71.55,71.75,72.50
20131021,70.49,71.25,71.55,71.75,72.50,73.99
20131022,71.25,71.55,71.75,72.50,73.99,74.03
20131023,71.55,71.75,72.50,73.99,74.03,74.62
20131024,71.75,72.50,73.99,74.03,74.62,75.35
20131025,72.50,73.99,74.03,74.62,75.35,75.60
20131028,73.99,74.03,74.62,75.35,75.60,75.30
20131029,74.03,74.62,75.35,75.60,75.30,75.27
20131030,74.62,75.35,75.60,75.30,75.27,74.61
20131031,75.35,75.60,75.30,75.27,74.61,74.91
20131101,75.60,75.30,75.27,74.61,74.91,74.33
20131104,75.30,75.27,74.61,74.91,74.33,74.69
20131105,75.27,74.61,74.91,74.33,74.69,75.13
20131106,74.61,74.91,74.33,74.69,75.13,74.50
20131107,74.91,74.33,74.69,75.13,74.50,73.97
20131108,74.33,74.69,75.13,74.50,73.97,73.84
20131111,74.69,75.13,74.50,73.97,73.84,74.01
20131112,75.13,74.50,73.97,73.84,74.01,74.35
20131113,74.50,73.97,73.84,74.01,74.35,74.23
20131114,73.97,73.84,74.01,74.35,74.23,75.08
20131115,73.84,74.01,74.35,74.23,75.08,75.26
20131118,74.01,74.35,74.23,75.08,75.26,74.67
20131119,74.35,74.23,75.08,75.26,74.67,74.38
20131120,74.23,75.08,75.26,74.67,74.38,73.91
20131121,75.08,75.26,74.67,74.38,73.91,73.92
20131122,75.26,74.67,74.38,73.91,73.92,74.33
20131125,74.67,74.38,73.91,73.92,74.33,74.78
20131126,74.38,73.91,73.92,74.33,74.78,75.72
20131127,73.91,73.92,74.33,74.78,75.72,77.10
20131129,73.92,74.33,74.78,75.72,77.10,79.01
20131202,74.33,74.78,75.72,77.10,79.01,79.65
20131203,74.78,75.72,77.10,79.01,79.65,80.29
20131204,75.72,77.10,79.01,79.65,80.29,80.71
20131205,77.10,79.01,79.65,80.29,80.71,81.54
20131206,79.01,79.65,80.29,80.71,81.54,80.45
20131209,79.65,80.29,80.71,81.54,80.45,80.75
20131210,80.29,80.71,81.54,80.45,80.75,80.65
20131211,80.71,81.54,80.45,80.75,80.65,80.76
20131212,81.54,80.45,80.75,80.65,80.76,80.38
20131213,80.45,80.75,80.65,80.76,80.38,79.75
20131216,80.75,80.65,80.76,80.38,79.75,79.83
20131217,80.65,80.76,80.38,79.75,79.83,79.49
20131218,80.76,80.38,79.75,79.83,79.49,77.87
20131219,80.38,79.75,79.83,79.49,77.87,78.12
20131220,79.75,79.83,79.49,77.87,78.12,78.32
20131223,79.83,79.49,77.87,78.12,78.32,80.96
20131224,79.49,77.87,78.12,78.32,80.96,81.28
20131226,77.87,78.12,78.32,80.96,81.28,80.92
20131227,78.12,78.32,80.96,81.28,80.92,80.28
20131230,78.32,80.96,81.28,80.92,80.28,79.46
20131231,80.96,81.28,80.92,80.28,79.46,79.66
20140102,81.28,80.92,80.28,79.46,79.66,79.22
20140103,80.92,80.28,79.46,79.66,79.22,78.15
20140106,80.28,79.46,79.66,79.22,78.15,77.17
20140107,79.46,79.66,79.22,78.15,77.17,77.42
20140108,79.66,79.22,78.15,77.17,77.42,77.45
20140109,79.22,78.15,77.17,77.42,77.45,77.30
20140110,78.15,77.17,77.42,77.45,77.30,76.56
20140113,77.17,77.42,77.45,77.30,76.56,76.60
20140114,77.42,77.45,77.30,76.56,76.60,77.46
20140115,77.45,77.30,76.56,76.60,77.46,79.42
20140116,77.30,76.56,76.60,77.46,79.42,79.18
20140117,76.56,76.60,77.46,79.42,79.18,78.00
20140121,76.60,77.46,79.42,79.18,78.00,77.89
20140122,77.46,79.42,79.18,78.00,77.89,78.94
20140123,79.42,79.18,78.00,77.89,78.94,78.66
20140124,79.18,78.00,77.89,78.94,78.66,78.60
20140127,78.00,77.89,78.94,78.66,78.60,78.61
20140128,77.89,78.94,78.66,78.60,78.61,72.65
20140129,78.94,78.66,78.60,78.61,72.65,71.86
20140130,78.66,78.60,78.61,72.65,71.86,71.66
20140131,78.60,78.61,72.65,71.86,71.66,71.08
20140203,78.61,72.65,71.86,71.66,71.08,71.93
20140204,72.65,71.86,71.66,71.08,71.93,72.30
20140205,71.86,71.66,71.08,71.93,72.30,72.97
20140206,71.66,71.08,71.93,72.30,72.97,72.95
20140207,71.08,71.93,72.30,72.97,72.95,74.31
20140210,71.93,72.30,72.97,72.95,74.31,75.00
20140211,72.30,72.97,72.95,74.31,75.00,76.23
20140212,72.97,72.95,74.31,75.00,76.23,76.63
20140213,72.95,74.31,75.00,76.23,76.63,77.07
20140214,74.31,75.00,76.23,76.63,77.07,77.66
20140218,75.00,76.23,76.63,77.07,77.66,78.34
20140219,76.23,76.63,77.07,77.66,78.34,77.23
20140220,76.63,77.07,77.66,78.34,77.23,76.14
20140221,77.07,77.66,78.34,77.23,76.14,75.65
20140224,77.66,78.34,77.23,76.14,75.65,75.17
20140225,78.34,77.23,76.14,75.65,75.17,75.04
20140226,77.23,76.14,75.65,75.17,75.04,74.33
20140227,76.14,75.65,75.17,75.04,74.33,74.63
20140228,75.65,75.17,75.04,74.33,74.63,75.35
20140303,75.17,75.04,74.33,74.63,75.35,75.25
20140304,75.04,74.33,74.63,75.35,75.25,75.74
20140305,74.33,74.63,75.35,75.25,75.74,75.99
20140306,74.63,75.35,75.25,75.74,75.99,75.90
20140307,75.35,75.25,75.74,75.99,75.90,75.57
20140310,75.25,75.74,75.99,75.90,75.57,75.83
20140311,75.74,75.99,75.90,75.57,75.83,76.52
20140312,75.99,75.90,75.57,75.83,76.52,76.38
20140313,75.90,75.57,75.83,76.52,76.38,76.34
20140314,75.57,75.83,76.52,76.38,76.34,75.28
20140317,75.83,76.52,76.38,76.34,75.28,75.42
20140318,76.52,76.38,76.34,75.28,75.42,75.51
20140319,76.38,76.34,75.28,75.42,75.51,76.09
20140320,76.34,75.28,75.42,75.51,76.09,75.72
20140321,75.28,75.42,75.51,76.09,75.72,75.72
20140324,75.42,75.51,76.09,75.72,75.72,76.83
20140325,75.51,76.09,75.72,75.72,76.83,77.52
20140326,76.09,75.72,75.72,76.83,77.52,77.70
20140327,75.72,75.72,76.83,77.52,77.70,76.90
20140328,75.72,76.83,77.52,77.70,76.90,76.66
20140331,76.83,77.52,77.70,76.90,76.66,76.91
20140401,77.52,77.70,76.90,76.66,76.91,77.05
20140402,77.70,76.90,76.66,76.91,77.05,77.41
20140403,76.90,76.66,76.91,77.05,77.41,77.15
20140404,76.66,76.91,77.05,77.41,77.15,76.47
20140407,76.91,77.05,77.41,77.15,76.47,75.20
20140408,77.05,77.41,77.15,76.47,75.20,74.63
20140409,77.41,77.15,76.47,75.20,74.63,75.18
20140410,77.15,76.47,75.20,74.63,75.18,75.39
20140411,76.47,75.20,74.63,75.18,75.39,74.28
20140414,75.20,74.63,75.18,75.39,74.28,74.24
20140415,74.63,75.18,75.39,74.28,74.24,73.78
20140416,75.18,75.39,74.28,74.24,73.78,73.94
20140417,75.39,74.28,74.24,73.78,73.94,74.78
20140421,74.28,74.24,73.78,73.94,74.78,75.44
20140422,74.24,73.78,73.94,74.78,75.44,75.59
20140423,73.78,73.94,74.78,75.44,75.59,75.40
20140424,73.94,74.78,75.44,75.59,75.40,80.77
20140425,74.78,75.44,75.59,75.40,80.77,81.14
20140428,75.44,75.59,75.40,80.77,81.14,83.45
20140429,75.59,75.40,80.77,81.14,83.45,84.68
20140430,75.40,80.77,81.14,83.45,84.68,84.94
20140501,80.77,81.14,83.45,84.68,84.94,84.37
20140502,81.14,83.45,84.68,84.94,84.37,84.56
20140505,83.45,84.68,84.94,84.37,84.56,85.07
20140506,84.68,84.94,84.37,84.56,85.07,85.63
20140507,84.94,84.37,84.56,85.07,85.63,84.64
20140508,84.37,84.56,85.07,85.63,84.64,84.34
20140509,84.56,85.07,85.63,84.64,84.34,83.33
20140512,85.07,85.63,84.64,84.34,83.33,84.36
20140513,85.63,84.64,84.34,83.33,84.36,84.66
20140514,84.64,84.34,83.33,84.36,84.66,84.94
20140515,84.34,83.33,84.36,84.66,84.94,84.62
20140516,83.33,84.36,84.66,84.94,84.62,84.49
20140519,84.36,84.66,84.94,84.62,84.49,86.05
20140520,84.66,84.94,84.62,84.49,86.05,86.22
20140521,84.94,84.62,84.49,86.05,86.22,86.34
20140522,84.62,84.49,86.05,86.22,86.34,86.71
20140523,84.49,86.05,86.22,86.34,86.71,87.23
20140527,86.05,86.22,86.34,86.71,87.23,88.68
20140528,86.22,86.34,86.71,87.23,88.68,89.54
20140529,86.34,86.71,87.23,88.68,89.54,90.33
20140530,86.71,87.23,88.68,89.54,90.33,90.93
20140602,87.23,88.68,89.54,90.33,90.93,89.81
20140603,88.68,89.54,90.33,90.93,89.81,90.50
20140604,89.54,90.33,90.93,89.81,90.50,91.71
20140605,90.33,90.93,89.81,90.50,91.71,92.28
20140606,90.93,89.81,90.50,91.71,92.28,92.55
20140609,89.81,90.50,91.71,92.28,92.55,92.81
20140610,90.50,91.71,92.28,92.55,92.81,94.31
20140611,91.71,92.28,92.55,92.81,94.31,94.12
20140612,92.28,92.55,92.81,94.31,94.12,93.01
20140613,92.55,92.81,94.31,94.12,93.01,91.66
